event_id,event_date,event_type,state,district,location_name,latitude,longitude,affected_road,source,severity,duration_days
ner_2025_010,2025-07-29,landslide,Sikkim,Pakyong,Chagelakha Turning Point,27.220,88.600,Pakyong road network,nenow.in,medium,2
ner_2025_011,2025-07-29,mudslide,Sikkim,Gangtok,Pani House,27.320,88.610,Gangtok city road,nenow.in,low,1
ner_2025_012,2025-08-03,landslide,Sikkim,Kalimpong (West Bengal),Tarkhola,27.060,88.620,NH-10 (Kalimpong-Sikkim),nenow.in,medium,0.2
ner_2025_013,2025-08-03,road damage,Sikkim,Kalimpong (West Bengal),Swetijhora (NH-10 collapsed into Teesta),27.000,88.580,NH-10,nenow.in,high,10
ner_2025_014,2025-05-30,landslide,Mizoram,Aizawl,Retaining wall collapse (rain-triggered),23.727,92.717,Aizawl city roads,eastmojo.com,high,2
ner_2025_015,2025-06-25,landslide,Mizoram,Aizawl,NHIDCL slope works (hospital evacuated),23.730,92.720,Road beside hospital,eastmojo.com,high,2
ner_2025_016,2025-06-03,landslide,Mizoram,Champhai,Champhai worst-hit of 598 landslides,23.456,93.329,Multiple state roads,eastmojo.com,medium,14
ner_2025_017,2025-06-14,landslide,Meghalaya,Multiple districts,Statewide floods and landslides (15 dead),25.500,91.900,Multiple NH/state roads,eastmojo.com,high,
ner_2026_001,2026-06-24,landslide,Assam,Dibrugarh,Joypur-Deomali via Dehing Patkai (Kathalguri Beat),27.476,95.560,NH-315A (Dibrugarh-Tirap),assamtribune.com,high,3
ner_2026_002,2026-03-27,road damage,Assam,Sivasagar,Gammon bridge over Dikhow River (Konwarpur),26.983,94.633,NH-37,assamtribune.com,high,7
ner_2026_003,2026-07-18,flood,Assam,Kamrup Metro,Jorabat,25.756,91.861,NH-27,assamtribune.com,medium,0.5
ner_2026_004,2026-07-18,road damage,Assam,Kamrup Metro,Ninth Mile (Khanapara),25.720,91.880,NH-27 (uprooted tree),assamtribune.com,medium,0.5
ner_2026_005,2026-06-24,landslide,Manipur,Tamenglong,Shanti Khunou-Rengpang (87 CRPF camp),24.900,93.450,NH-37 (Imphal-Silchar),nenow.in,high,2
ner_2026_006,2026-07-12,landslide,Manipur,Senapati,Vaorei (Tadubi-Ukhrul),25.310,94.150,NH-102A,nenow.in,high,15
ner_2026_007,2026-07-06,landslide,Mizoram,Lunglei,Bualte village (NH-54),22.880,92.700,NH-54 (cut off Lawngtlai-Siaha),nenow.in,high,4
ner_2026_008,2026-07-10,road damage,Mizoram,Aizawl,Ngaizel rockfall,23.700,92.730,Aizawl-Thenzawl-Lunglei Highway,nenow.in,high,3
ner_2026_009,2026-07-13,landslide,Arunachal Pradesh,West Kameng,Balipara-Charduar-Tawang Highway stretches,27.150,92.450,BCT Highway (NH13),nenow.in,medium,3
ner_2026_010,2026-07-13,flood,Arunachal Pradesh,Lower Dibang Valley,Statewide floods/landslides (roads and bridges),28.100,95.900,Multiple roads/bridges,theshillongtimes.com/nenow.in,high,10
ner_2026_011,2026-06-24,landslide,Sikkim,Gyalshing,Geyzing-Legship road,27.291,88.267,Geyzing-Legship Road,eastmojo.com,high,4
ner_2026_012,2026-06-28,flood,Sikkim,Mangan,Bailey bridge over Phee Khola at Phidang (Dzongu),27.560,88.452,Phidang-Sankalang link,eastmojo.com,high,7
ner_2026_013,2026-07-20,landslide,Sikkim,South Sikkim,Samardung tunnel (Mamring, Teesta-VI),27.145,88.555,NH-10 corridor access,eastmojo.com,high,
ner_2026_014,2026-07-19,landslide,Nagaland,Mon,Mon town (Walo ward; 8 killed, town cut off),26.731,95.033,Mon-Tizit/Naginimora road links,thehindu.com/assamtribune.com,high,5
ner_2026_015,2026-07-19,landslide,Nagaland,Mon,Naginimora and Tizit (60+ landslides, 600 houses),26.352,94.926,Naginimora-Tizit roads,assamtribune.com,high,7
ner_2026_016,2026-07-31,landslide,Nagaland,Kohima,Phesama sinking zone,25.580,94.130,NH-2 (Nagaland-Manipur),eastmojo.com,medium,3
ner_2026_017,2026-07-08,flood,Meghalaya,Ri-Bhoi,Jorabat (car swept at Jorabat bridge),25.756,91.861,NH-6,theshillongtimes.com,high,0.5
ner_2026_018,2026-04-28,road damage,Tripura,Gomati,Udaipur/Amarpur/Karbook (uprooted trees),23.532,91.476,Gomati NH sections,nenow.in,medium,2
ner_2026_019,2026-07-10,flood,Tripura,Khowai,Khowai district (11,000 displaced),23.890,91.640,Rural roads obstructed,thehindu.com,medium,5
ner_2026_020,2026-04-28,flood,Tripura,West Tripura,Agartala urban flooding,23.832,91.414,Agartala city roads,newsonair.gov.in,medium,1
